sample_id_fastq,barcoding_id,sample_id,sampling_id,taxonomy,sample_type,sample_type_2,sample_type_3,zone,spot_name,region,region_season,season,body_mass,size_class,sex_state,gut_fullness,standard_length,taxo_q0,taxo_q1,scfa_q0,scfa_q1,enzymes_q0,enzymes_q1,ontogeny
G-F920-B,G_F920_B,G_F920,G116,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,237,> 200,immature,full_of_mucus,218,247,101.771975796154,89,35.5152175288466,120,55.1452485655599,adult
G-F923-B,G_F923_B,G_F923,G116,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,84,"[100,200]",immature,full_of_mucus,156,334,220.034237493686,96,38.4729684531131,137,58.5712179782665,adult
G-F924-B,G_F924_B,G_F924,G116,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,99,"[100,200]",immature,NA,168,344,132.669823464973,107,36.2762853264417,142,52.6689656796627,adult
G-F935-B,G_F935_B,G_F935,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,24,"[0,100]",immature,full,95,345,228.838041814459,86,35.9054812054565,131,54.6060869429945,juvenile
G-F936-B,G_F936_B,G_F936,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,26,"[0,100]",immature,NA,100,460,275.780009292973,102,36.2222885409101,143,53.6019091889699,juvenile
G-F937-B,G_F937_B,G_F937,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,21,"[0,100]",immature,NA,96,334,186.243839620256,106,34.1372130761386,144,51.465739135962,juvenile
G-F938-B,G_F938_B,G_F938,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,25,"[0,100]",immature,full,100,427,251.647769282274,100,33.5889590240228,141,49.9577201611252,juvenile
G-F940-B,G_F940_B,G_F940,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,86,"[100,200]",immature,full,150,338,200.84537042219,100,34.5518371377962,139,54.0664340333047,adult
G-F949-B,G_F949_B,G_F949,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,20,"[0,100]",immature,full,97,372,213.356185281963,101,39.9466820444144,137,59.4113046825728,juvenile
G-F950-B,G_F950_B,G_F950,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,28,"[100,200]",immature,half_full,108,383,238.851925042803,94,37.0883246227185,131,54.6034553679838,juvenile
G-F951-B,G_F951_B,G_F951,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,16,"[0,100]",immature,almost_full,87,385,232.732851519627,102,34.134581419005,144,51.5018681076097,juvenile
G-F961-B,G_F961_B,G_F961,G117,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,23,"[100,200]",immature,full,114,365,188.432943388801,86,38.55430278944,132,53.3560366752748,juvenile
G-F966-B,G_F966_B,G_F966,G119,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Autumn,Autumn,23,"[0,100]",immature,full,97,358,240.493006255594,102,35.3690953989302,142,55.3936796606132,juvenile
G-F981-B,G_F981_B,G_F981,G122,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,675,> 200,female_no_vascularized,full,286,248,118.244007077167,107,27.8356465220957,143,62.6413753507265,adult
G-F982-B,G_F982_B,G_F982,G122,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,756,> 200,vascularized_female,full_peanuts_in_gut,293,209,97.8963634139473,91,38.606812328435,130,48.8509578009539,adult
G-F983-B,G_F983_B,G_F983,G122,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,334,> 200,male,full,233,264,130.880286134849,118,34.2711099771913,148,48.3928461865272,adult
G-F984-B,G_F984_B,G_F984,G122,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,418,> 200,male,full,232,292,153.745251930075,105,32.8722204520181,139,51.6817611969483,adult
G-F986-B,G_F986_B,G_F986,G122,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,257,> 200,immature,full,206,308,168.813721080073,106,33.3424197862886,136,48.5001630114759,adult
G-F989-B,G_F989_B,G_F989,G121,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Psaromoura,Psaromoura,Northern_Crete,Northern_Crete_Autumn,Autumn,19,"[100,200]",immature,full,110,304,165.573941046304,100,33.245280478464,139,49.9837849814841,juvenile
G-F991-B,G_F991_B,G_F991,G121,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Psaromoura,Psaromoura,Northern_Crete,Northern_Crete_Autumn,Autumn,17,"[100,200]",immature,NA,105,389,242.406452953744,86,35.8376302580294,134,51.9382575061101,juvenile
G-F994-B,G_F994_B,G_F994,G121,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Psaromoura,Psaromoura,Northern_Crete,Northern_Crete_Autumn,Autumn,10,"[0,100]",immature,full,74,255,119.973161148932,99,29.9266253223883,144,38.1061315195063,juvenile
G-F995-B,G_F995_B,G_F995,G121,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Psaromoura,Psaromoura,Northern_Crete,Northern_Crete_Autumn,Autumn,14,"[0,100]",immature,full,83,382,243.538860351399,97,36.1510926765924,135,51.7577462471472,juvenile
G-F996-B,G_F996_B,G_F996,G121,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Psaromoura,Psaromoura,Northern_Crete,Northern_Crete_Autumn,Autumn,17,"[0,100]",immature,full,85,423,254.600496629412,113,35.5410992829383,143,57.0989005510072,juvenile
